CO,NO2,O3,PM10,PM2.5,SO2,label
0.6,23.0,46.0,66.0,33.0,5.1,1
0.7,29.0,40.0,71.0,36.0,5.9,1
0.94,39.0,30.0,75.0,41.0,4.7,1
1.11,40.0,25.0,77.0,44.0,4.3,1
0.97,35.0,29.0,78.0,47.0,4.1,1
1.14,49.0,15.0,78.0,47.0,4.1,1
1.18,51.0,14.0,76.0,43.0,4.0,1
1.49,60.0,4.6,77.0,45.0,4.1,1
1.37,57.0,5.9,82.0,48.0,3.8,1
1.15,48.0,12.0,79.0,48.0,3.3,1
0.58,18.0,33.0,70.0,43.0,2.9,1
0.53,16.0,33.0,61.0,38.0,2.7,1
0.51,17.0,28.0,59.0,39.0,3.4,1
0.51,17.0,27.0,60.0,37.0,3.1,1
0.53,17.0,26.0,57.0,32.0,2.8,1
0.67,27.0,18.0,55.0,31.0,3.1,1
1.01,34.0,13.0,55.0,35.0,3.0,1
1.21,38.0,16.0,64.0,36.0,3.5,1
1.08,35.0,27.0,71.0,36.0,3.3,1
0.83,28.0,38.0,67.0,36.0,3.3,1
0.57,20.0,44.0,61.0,31.0,3.0,1
0.53,18.0,49.0,55.0,23.0,2.8,1
0.48,16.0,54.0,53.0,21.0,2.9,1
0.54,22.0,60.0,65.0,31.0,6.2,1
0.61,27.0,68.0,88.0,49.0,5.9,1
0.52,23.0,60.0,86.0,48.0,4.9,1
0.66,30.0,47.0,75.0,44.0,4.9,1
0.94,38.0,34.0,89.0,52.0,8.9,1
1.0,45.0,25.0,101.0,61.0,6.2,2
1.58,59.0,8.1,108.0,65.0,6.1,2
2.08,61.0,1.5,119.0,71.0,6.8,2
2.12,54.0,1.3,119.0,71.0,7.7,2
1.34,43.0,3.4,90.0,53.0,4.3,1
0.78,33.0,11.0,65.0,33.0,2.9,1
0.5,18.0,28.0,51.0,25.0,2.4,1
0.35,12.0,35.0,42.0,22.0,2.0,0
0.3,10.0,36.0,38.0,20.0,2.0,0
0.52,22.0,24.0,38.0,18.0,2.1,0
0.81,37.0,3.3,49.0,25.0,4.4,0
0.68,34.0,3.2,62.0,36.0,7.6,1
0.74,34.0,5.0,71.0,41.0,8.9,1
0.79,29.0,12.0,78.0,43.0,6.7,1
0.7,28.0,21.0,88.0,49.0,7.1,1
0.72,28.0,29.0,90.0,53.0,7.5,1
0.68,26.0,34.0,87.0,52.0,6.5,1
0.68,21.0,40.0,78.0,45.0,4.9,1
0.85,40.0,46.0,73.0,41.0,4.5,1
0.91,40.0,41.0,81.0,41.0,4.7,1
0.9,40.0,36.0,79.0,36.0,5.0,1
0.88,45.0,18.0,68.0,31.0,7.2,1
1.67,62.0,5.8,76.0,37.0,4.9,1
1.93,61.0,1.6,93.0,48.0,5.4,1
1.67,56.0,1.8,95.0,49.0,6.8,1
1.37,53.0,1.2,89.0,45.0,7.5,1
1.54,54.0,1.1,94.0,49.0,9.1,1
1.21,49.0,0.8,98.0,56.0,8.5,1
0.9,42.0,0.7,89.0,52.0,7.4,1
0.58,36.0,3.2,81.0,46.0,6.5,1
0.56,39.0,1.1,70.0,43.0,7.6,1
0.56,34.0,4.7,68.0,45.0,6.3,1
0.57,31.0,1.8,70.0,44.0,5.8,1
0.5,26.0,2.4,68.0,39.0,6.4,1
0.53,29.0,2.2,71.0,41.0,7.7,1
0.61,27.0,2.0,65.0,38.0,4.3,1
1.14,29.0,1.8,49.0,27.0,3.8,0
1.9,40.0,2.9,53.0,28.0,5.1,1
1.54,48.0,5.9,70.0,37.0,5.3,1
0.88,42.0,12.0,76.0,40.0,5.3,1
0.49,29.0,22.0,68.0,36.0,6.1,1
0.46,25.0,29.0,65.0,32.0,4.9,1
0.54,27.0,35.0,65.0,36.0,5.8,1
0.59,30.0,38.0,67.0,38.0,5.3,1
0.69,35.0,33.0,72.0,40.0,3.8,1
0.65,40.0,22.0,61.0,36.0,4.9,1
0.82,45.0,13.0,59.0,31.0,4.7,1
1.14,50.0,7.2,60.0,35.0,4.0,1
1.18,49.0,5.4,57.0,40.0,3.8,1
0.82,39.0,13.0,57.0,35.0,4.7,1
0.74,35.0,17.0,49.0,29.0,3.4,0
0.66,31.0,22.0,49.0,31.0,3.4,0
0.58,27.0,25.0,64.0,39.0,6.4,1
0.56,21.0,32.0,76.0,46.0,4.2,1
0.49,15.0,37.0,78.0,49.0,4.5,1
0.49,13.0,36.0,70.0,46.0,2.2,1
0.45,11.0,36.0,57.0,36.0,1.7,1
0.46,11.0,39.0,40.0,28.0,1.6,0
0.49,15.0,38.0,31.0,25.0,1.4,0
0.57,26.0,28.0,33.0,25.0,1.5,0
0.9,35.0,20.0,34.0,21.0,1.6,0
0.94,37.0,22.0,38.0,25.0,2.5,0
0.85,41.0,19.0,45.0,30.0,3.3,0
0.67,34.0,25.0,49.0,31.0,3.7,0
0.68,35.0,25.0,54.0,36.0,4.5,1
0.67,30.0,28.0,55.0,35.0,2.7,1
0.6,26.0,32.0,46.0,30.0,2.3,0
0.64,28.0,30.0,46.0,26.0,1.8,0
0.65,29.0,29.0,55.0,20.0,1.6,1
0.68,31.0,26.0,65.0,17.0,1.7,1
0.76,31.0,27.0,49.0,15.0,1.7,0
0.85,32.0,26.0,27.0,17.0,1.7,0
0.79,28.0,30.0,37.0,25.0,1.4,0
0.64,22.0,36.0,40.0,25.0,1.3,0
0.63,23.0,34.0,35.0,23.0,1.4,0
0.68,20.0,32.0,29.0,20.0,1.8,0
0.81,15.0,30.0,29.0,18.0,1.5,0
0.84,11.0,33.0,32.0,16.0,1.2,0
0.83,10.0,35.0,31.0,18.0,2.2,0
0.68,8.7,35.0,28.0,19.0,2.1,0
0.38,6.7,38.0,18.0,10.0,1.5,0
0.27,6.5,39.0,15.0,10.0,1.4,0
0.26,8.3,37.0,20.0,14.0,1.3,0
0.31,16.0,31.0,22.0,14.0,1.4,0
0.51,23.0,25.0,23.0,16.0,1.8,0
0.63,26.0,21.0,24.0,15.0,2.2,0
0.53,29.0,19.0,34.0,15.0,3.5,0
0.5,32.0,20.0,49.0,17.0,3.7,0
0.48,26.0,21.0,44.0,16.0,3.4,0
0.47,25.0,21.0,35.0,18.0,4.1,0
0.47,26.0,19.0,33.0,18.0,4.0,0
0.48,28.0,17.0,34.0,15.0,3.9,0
0.54,30.0,15.0,33.0,16.0,2.9,0
0.62,30.0,16.0,33.0,16.0,1.9,0
0.65,27.0,17.0,33.0,14.0,1.7,0
0.58,25.0,20.0,28.0,12.0,1.4,0
0.47,20.0,24.0,22.0,9.0,1.5,0
0.48,19.0,24.0,20.0,7.0,1.4,0
0.5,20.0,23.0,17.0,6.0,1.4,0
0.36,14.0,30.0,17.0,8.0,1.5,0
0.28,8.6,35.0,18.0,9.0,1.4,0
0.25,8.2,35.0,16.0,5.0,2.8,0
0.23,8.3,34.0,16.0,3.0,3.6,0
0.21,7.2,35.0,16.0,7.0,4.0,0
0.22,7.6,35.0,16.0,7.0,3.6,0
0.29,12.0,29.0,15.0,4.0,1.8,0
0.42,19.0,22.0,16.0,10.0,1.6,0
0.64,27.0,17.0,24.0,11.0,2.6,0
0.89,32.0,15.0,32.0,9.0,6.7,0
0.7,29.0,19.0,35.0,10.0,5.7,0
0.55,25.0,22.0,33.0,13.0,2.7,0
0.46,21.0,26.0,28.0,13.0,2.2,0
0.42,17.0,29.0,24.0,10.0,2.6,0
0.39,14.0,32.0,21.0,10.0,3.3,0
0.45,19.0,28.0,24.0,10.0,5.1,0
0.44,20.0,26.0,31.0,12.0,4.5,0
0.59,27.0,19.0,32.0,15.0,5.0,0
0.61,27.0,19.0,31.0,15.0,4.5,0
0.82,33.0,13.0,33.0,15.0,4.5,0
0.93,37.0,6.8,35.0,13.0,5.2,0
0.75,34.0,8.8,33.0,10.0,5.7,0
0.99,39.0,4.0,37.0,14.0,7.1,0
0.88,34.0,6.1,44.0,17.0,3.8,0
0.47,23.0,16.0,48.0,17.0,3.2,0
0.35,15.0,23.0,44.0,13.0,2.0,0
0.27,9.5,30.0,37.0,10.0,1.4,0
0.22,7.0,33.0,33.0,11.0,1.4,0
0.22,5.9,33.0,39.0,10.0,1.5,0
0.23,5.7,33.0,42.0,10.0,1.5,0
0.25,8.0,30.0,34.0,12.0,1.5,0
0.33,13.0,24.0,28.0,10.0,1.6,0
0.65,23.0,15.0,29.0,8.0,1.5,0
0.77,28.0,13.0,37.0,9.0,1.6,0
0.49,22.0,18.0,37.0,10.0,1.8,0
0.41,20.0,20.0,32.0,9.0,1.7,0
0.47,22.0,19.0,32.0,10.0,1.6,0
0.47,19.0,21.0,31.0,11.0,1.5,0
0.47,19.0,21.0,26.0,10.0,1.5,0
0.42,16.0,26.0,22.0,7.0,1.3,0
0.46,21.0,20.0,18.0,8.0,1.1,0
0.53,25.0,16.0,18.0,10.0,1.4,0
0.55,22.0,18.0,20.0,9.0,1.3,0
0.8,30.0,10.0,17.0,8.0,1.4,0
0.62,26.0,14.0,12.0,6.0,1.2,0
0.59,25.0,13.0,13.0,4.0,1.1,0
0.58,23.0,15.0,12.0,9.0,1.2,0
0.6,22.0,15.0,10.0,7.0,1.2,0
0.47,16.0,21.0,9.0,4.0,1.0,0
0.4,12.0,26.0,11.0,4.0,1.7,0
0.37,8.8,29.0,12.0,4.0,1.2,0
0.36,7.3,30.0,13.0,6.0,1.1,0
0.37,8.7,30.0,15.0,4.0,1.0,0
0.42,7.7,31.0,17.0,7.0,1.1,0
0.47,9.3,30.0,23.0,10.0,1.3,0
0.58,14.0,24.0,24.0,11.0,1.3,0
0.74,20.0,19.0,23.0,15.0,1.9,0
0.83,24.0,16.0,33.0,22.0,2.1,0
0.81,25.0,20.0,40.0,27.0,2.3,0
0.77,23.0,25.0,43.0,28.0,2.7,0
0.76,26.0,22.0,50.0,28.0,5.0,0
0.65,19.0,28.0,48.0,25.0,3.2,0
0.64,21.0,25.0,39.0,20.0,2.2,0
0.64,23.0,23.0,37.0,21.0,1.6,0
0.66,25.0,20.0,38.0,22.0,3.0,0
0.71,27.0,17.0,37.0,20.0,4.1,0
0.77,28.0,16.0,34.0,17.0,3.4,0
0.78,26.0,18.0,32.0,13.0,1.3,0
0.71,24.0,19.0,33.0,12.0,1.2,0
0.61,22.0,22.0,37.0,15.0,1.3,0
0.59,21.0,25.0,37.0,18.0,1.2,0
0.6,20.0,26.0,33.0,15.0,1.3,0
0.5,15.0,31.0,29.0,13.0,1.2,0
0.43,13.0,33.0,27.0,10.0,1.3,0
0.34,9.4,36.0,24.0,9.0,0.9,0
0.28,8.3,36.0,23.0,9.0,2.0,0
0.26,7.1,34.0,21.0,9.0,3.4,0
0.25,5.8,36.0,22.0,8.0,1.8,0
0.25,7.0,34.0,23.0,11.0,1.6,0
0.29,12.0,29.0,20.0,11.0,1.7,0
0.36,14.0,25.0,18.0,7.0,0.8,0
0.36,14.0,26.0,18.0,7.0,0.9,0
0.33,10.0,30.0,18.0,10.0,0.9,0
0.32,9.6,32.0,16.0,10.0,0.9,0
0.33,9.6,33.0,16.0,7.0,0.9,0
0.35,12.0,32.0,17.0,7.0,1.0,0
0.34,13.0,31.0,18.0,8.0,1.1,0
0.37,15.0,29.0,22.0,8.0,1.0,0
0.39,15.0,27.0,24.0,10.0,1.0,0
0.43,18.0,24.0,23.0,12.0,1.1,0
0.55,20.0,20.0,21.0,11.0,1.1,0
0.46,18.0,22.0,20.0,11.0,1.0,0
0.46,17.0,23.0,20.0,10.0,0.9,0
0.46,17.0,23.0,23.0,11.0,1.0,0
0.48,18.0,22.0,26.0,13.0,0.9,0
0.45,16.0,25.0,24.0,10.0,1.0,0
0.36,13.0,27.0,22.0,9.0,1.1,0
0.31,11.0,30.0,28.0,10.0,1.0,0
0.26,8.0,32.0,28.0,8.0,0.9,0
0.24,7.0,34.0,23.0,9.0,1.1,0
0.24,7.5,33.0,23.0,10.0,1.2,0
0.25,6.8,33.0,22.0,9.0,1.2,0
0.29,9.4,30.0,23.0,8.0,1.2,0
0.42,21.0,19.0,29.0,11.0,1.2,0
0.7,28.0,13.0,31.0,14.0,1.5,0
0.84,28.0,15.0,29.0,15.0,2.1,0
0.56,19.0,25.0,26.0,12.0,1.5,0
0.5,18.0,26.0,22.0,8.0,1.4,0
0.42,15.0,31.0,22.0,8.0,1.3,0
0.41,13.0,33.0,22.0,5.0,1.2,0
0.39,13.0,34.0,24.0,5.0,1.3,0
0.39,13.0,33.0,26.0,10.0,1.2,0
0.46,18.0,28.0,24.0,10.0,1.3,0
0.51,21.0,26.0,24.0,11.0,1.2,0
0.58,24.0,22.0,22.0,13.0,1.3,0
0.78,30.0,15.0,21.0,9.0,1.5,0
0.7,28.0,17.0,24.0,6.0,1.4,0
0.64,27.0,17.0,23.0,10.0,1.4,0
0.59,23.0,20.0,24.0,13.0,1.3,0
0.55,22.0,23.0,22.0,7.0,1.4,0
0.43,16.0,28.0,16.0,4.0,1.0,0
0.38,13.0,30.0,18.0,9.0,0.9,0
0.34,11.0,29.0,18.0,9.0,1.3,0
0.3,9.1,32.0,15.0,11.0,1.3,0
0.28,7.9,31.0,16.0,10.0,1.6,0
0.42,13.0,21.0,20.0,10.0,1.8,0
0.5,22.0,4.9,35.0,17.0,2.7,0
0.33,13.0,25.0,32.0,17.0,1.8,0
0.66,23.0,17.0,18.0,11.0,1.8,0
0.94,31.0,9.6,26.0,16.0,1.9,0
1.09,35.0,8.8,35.0,23.0,2.3,0
0.8,32.0,12.0,31.0,20.0,2.5,0
0.61,26.0,19.0,23.0,14.0,2.3,0
0.52,21.0,24.0,21.0,10.0,2.8,0
0.52,20.0,25.0,17.0,9.0,2.5,0
0.53,24.0,20.0,17.0,6.0,4.7,0
0.51,24.0,21.0,21.0,8.0,2.7,0
0.56,26.0,17.0,21.0,9.0,2.5,0
0.66,30.0,14.0,18.0,7.0,3.8,0
0.74,30.0,13.0,18.0,7.0,2.1,0
0.7,29.0,14.0,16.0,10.0,2.5,0
0.67,31.0,12.0,11.0,10.0,3.5,0
0.6,26.0,17.0,12.0,4.0,1.7,0
0.58,25.0,18.0,13.0,3.0,1.6,0
0.53,24.0,19.0,9.0,6.0,1.7,0
0.39,16.0,24.0,5004.0,840.0,0.5,4
0.35,13.0,29.0,11.0,9.0,1.8,0
0.27,7.5,28.0,5004.0,840.0,1.0,4
0.32,13.0,33.0,11.0,3.0,0.9,0
0.32,13.0,32.0,12.0,4.0,1.7,0
0.34,19.0,29.0,12.0,5.0,2.4,0
0.44,39.0,18.0,15.0,8.0,3.0,0
0.77,53.0,12.0,13.0,8.0,3.0,1
1.33,69.0,5.9,16.0,11.0,3.6,1
0.95,59.0,9.2,24.0,15.0,2.8,1
0.69,53.0,13.0,34.0,15.0,2.8,1
0.62,29.0,16.0,35.0,16.0,2.4,0
0.63,25.0,18.0,27.0,13.0,2.1,0
0.54,19.0,22.0,27.0,14.0,2.2,0
0.52,20.0,21.0,34.0,15.0,2.1,0
0.59,24.0,18.0,39.0,15.0,2.3,0
0.69,30.0,13.0,44.0,19.0,2.2,0
0.94,34.0,7.5,40.0,20.0,2.1,0
1.0,33.0,5.8,35.0,20.0,1.9,0
0.89,32.0,5.9,43.0,25.0,1.9,0
0.88,32.0,4.5,48.0,27.0,2.0,0
0.88,31.0,4.0,48.0,26.0,1.8,0
0.88,29.0,6.9,46.0,29.0,1.9,0
0.75,22.0,13.0,48.0,29.0,1.9,0
0.57,12.0,27.0,54.0,32.0,1.8,1
0.51,9.1,36.0,53.0,31.0,1.3,1
0.5,9.4,36.0,50.0,27.0,1.0,0
0.45,8.0,37.0,46.0,26.0,0.9,0
0.5,10.0,32.0,39.0,25.0,0.9,0
0.55,14.0,27.0,39.0,29.0,1.3,0
0.62,18.0,29.0,59.0,41.0,1.6,1
0.85,26.0,23.0,83.0,56.0,2.3,1
1.22,36.0,19.0,103.0,69.0,3.2,2
1.07,38.0,18.0,119.0,76.0,3.7,2
0.97,35.0,22.0,134.0,81.0,4.9,2
0.89,30.0,27.0,144.0,90.0,5.7,2
0.81,27.0,31.0,138.0,84.0,5.0,2
0.72,24.0,37.0,123.0,76.0,4.9,2
0.81,28.0,36.0,120.0,76.0,5.4,2
0.76,27.0,41.0,128.0,73.0,5.4,2
0.79,29.0,41.0,128.0,76.0,5.2,2
0.9,32.0,42.0,132.0,79.0,5.2,2
1.05,39.0,35.0,132.0,80.0,5.0,2
0.99,44.0,30.0,125.0,75.0,4.2,2
0.95,44.0,26.0,120.0,67.0,3.2,2
1.01,40.0,24.0,110.0,65.0,2.2,2
0.89,36.0,25.0,103.0,58.0,1.8,2
0.66,27.0,31.0,88.0,50.0,1.4,1
0.54,20.0,34.0,72.0,40.0,2.9,1
0.44,16.0,35.0,66.0,31.0,3.1,1
0.35,13.0,37.0,53.0,25.0,2.7,1
0.35,11.0,35.0,48.0,21.0,2.3,0
0.34,9.7,37.0,43.0,21.0,1.8,0
0.32,12.0,36.0,34.0,22.0,1.6,0
0.39,24.0,22.0,33.0,20.0,1.3,0
0.76,36.0,10.0,32.0,19.0,1.9,0
1.1,43.0,4.1,34.0,18.0,2.2,0
0.75,39.0,7.4,42.0,20.0,1.8,0
0.57,35.0,12.0,40.0,17.0,1.4,0
0.51,31.0,15.0,34.0,12.0,1.2,0
0.6,32.0,12.0,23.0,13.0,1.3,0
0.88,15.0,6.4,33.0,16.0,0.9,0
0.93,40.0,4.7,32.0,18.0,1.0,0
0.71,33.0,12.0,33.0,15.0,0.7,0
0.63,28.0,16.0,28.0,15.0,0.6,0
0.75,31.0,12.0,27.0,14.0,0.6,0
0.6,25.0,17.0,27.0,8.0,0.2,0
0.42,16.0,27.0,24.0,7.0,1.4,0
0.41,15.0,26.0,23.0,9.0,1.3,0
0.44,16.0,21.0,21.0,10.0,1.2,0
0.42,14.0,18.0,22.0,10.0,1.4,0
0.34,8.9,22.0,18.0,10.0,1.5,0
0.45,12.0,17.0,15.0,10.0,1.2,0
0.95,25.0,1.9,20.0,10.0,2.3,0
1.41,25.0,1.9,29.0,14.0,3.1,0
1.44,28.0,5.0,38.0,19.0,3.0,0
1.63,40.0,6.1,59.0,24.0,6.2,1
1.01,34.0,12.0,68.0,28.0,5.6,1
0.54,19.0,28.0,46.0,22.0,3.3,0
0.63,26.0,62.0,50.0,24.0,3.5,1
0.51,22.0,43.0,55.0,25.0,2.5,1
0.49,18.0,39.0,46.0,20.0,2.3,0
0.68,32.0,23.0,45.0,20.0,3.9,0
0.77,39.0,6.0,62.0,25.0,4.4,1
0.67,31.0,10.0,70.0,27.0,3.3,1
0.72,35.0,5.3,70.0,31.0,3.0,1
0.76,31.0,14.0,62.0,30.0,1.8,1
0.61,24.0,25.0,45.0,23.0,0.8,0
0.49,17.0,33.0,35.0,18.0,0.5,0
0.51,17.0,32.0,37.0,20.0,1.2,0
0.46,14.0,33.0,37.0,18.0,0.6,0
0.33,5.8,48.0,32.0,18.0,0.2,0
0.33,5.9,50.0,33.0,22.0,0.1,0
0.33,6.0,52.0,38.0,25.0,0.0,1
0.38,7.4,54.0,42.0,25.0,0.2,1
0.44,12.0,48.0,48.0,27.0,0.3,0
0.58,23.0,38.0,51.0,29.0,0.7,1
0.6,23.0,38.0,57.0,36.0,0.9,1
0.6,27.0,37.0,67.0,40.0,2.3,1
0.61,28.0,38.0,76.0,40.0,3.0,1
0.6,24.0,41.0,79.0,45.0,3.2,1
0.64,25.0,40.0,89.0,51.0,3.5,1
0.69,25.0,38.0,104.0,55.0,3.8,2
0.72,27.0,38.0,109.0,57.0,4.5,2
0.76,32.0,33.0,115.0,62.0,4.7,2
0.73,28.0,33.0,114.0,63.0,3.0,2
0.67,26.0,34.0,100.0,54.0,2.3,1
0.59,25.0,36.0,87.0,45.0,2.0,1
0.41,21.0,37.0,66.0,31.0,0.3,1
0.36,21.0,35.0,45.0,18.0,0.0,0
0.35,19.0,36.0,42.0,12.0,0.2,0
0.43,22.0,31.0,46.0,10.0,0.3,0
0.26,12.0,39.0,48.0,9.0,-0.2,0
0.22,9.1,41.0,40.0,7.0,0.5,0
0.19,7.3,41.0,31.0,7.0,1.7,0
0.18,6.1,41.0,32.0,7.0,1.5,0
0.18,6.2,37.0,33.0,10.0,2.3,0
0.19,5.9,38.0,27.0,6.0,2.2,0
0.21,9.9,31.0,21.0,5.0,3.2,0
0.3,21.0,22.0,20.0,10.0,2.7,0
0.51,27.0,17.0,24.0,11.0,2.9,0
0.74,33.0,12.0,27.0,11.0,2.8,0
0.6,33.0,13.0,32.0,11.0,2.5,0
0.57,34.0,13.0,39.0,15.0,2.0,0
0.61,35.0,12.0,38.0,17.0,2.5,0
0.6,31.0,16.0,35.0,17.0,2.5,0
0.49,28.0,18.0,35.0,15.0,2.7,0
0.49,27.0,17.0,35.0,13.0,3.4,0
0.57,34.0,11.0,35.0,15.0,3.2,0
0.59,33.0,11.0,35.0,15.0,2.8,0
0.73,34.0,11.0,35.0,16.0,2.3,0
0.82,34.0,12.0,35.0,18.0,2.2,0
0.85,37.0,8.3,33.0,16.0,3.3,0
0.76,32.0,12.0,29.0,14.0,2.7,0
0.69,30.0,13.0,24.0,10.0,2.1,0
0.75,33.0,9.6,23.0,8.0,2.2,0
0.51,22.0,19.0,23.0,8.0,1.7,0
0.4,16.0,24.0,22.0,10.0,2.3,0
0.31,12.0,28.0,20.0,8.0,1.4,0
0.26,9.0,30.0,15.0,6.0,1.4,0
0.25,9.4,29.0,17.0,8.0,1.5,0
0.22,8.2,31.0,15.0,7.0,1.4,0
0.23,12.0,26.0,12.0,7.0,1.8,0
0.37,24.0,14.0,15.0,9.0,2.0,0
0.61,26.0,12.0,18.0,6.0,2.1,0
0.98,35.0,6.8,26.0,8.0,2.8,0
0.88,35.0,11.0,34.0,11.0,2.5,0
0.43,22.0,25.0,34.0,9.0,1.4,0
0.34,18.0,30.0,26.0,5.0,1.3,0
0.36,16.0,32.0,23.0,5.0,1.2,0
0.35,17.0,31.0,28.0,6.0,1.3,0
0.37,21.0,28.0,29.0,5.0,1.1,0
0.37,23.0,25.0,27.0,8.0,1.3,0
0.49,31.0,19.0,27.0,10.0,1.4,0
0.68,35.0,14.0,27.0,7.0,1.4,0
0.91,38.0,8.5,26.0,6.0,1.5,0
0.91,40.0,8.3,28.0,8.0,1.6,0
0.86,37.0,9.8,26.0,7.0,1.4,0
0.66,31.0,15.0,23.0,5.0,1.4,0
0.77,38.0,8.9,22.0,5.0,1.4,0
0.76,39.0,6.6,22.0,8.0,1.5,0
0.86,38.0,3.5,26.0,9.0,1.3,0
0.75,30.0,1.0,29.0,13.0,3.7,0
0.43,22.0,2.5,27.0,17.0,3.7,0
0.4,21.0,3.4,27.0,15.0,3.3,0
0.45,20.0,4.7,29.0,14.0,3.2,0
0.62,24.0,1.4,31.0,16.0,3.8,0
0.72,25.0,1.0,42.0,20.0,8.5,0
0.98,30.0,1.9,54.0,24.0,19.0,1
1.73,39.0,3.4,70.0,33.0,14.0,1
1.76,53.0,6.1,83.0,42.0,14.0,1
1.33,52.0,12.0,79.0,43.0,8.7,1
0.79,43.0,14.0,71.0,37.0,13.0,1
0.69,37.0,25.0,70.0,31.0,6.3,1
0.55,30.0,39.0,66.0,27.0,5.9,1
0.41,23.0,43.0,59.0,24.0,4.5,1
0.44,20.0,41.0,49.0,22.0,2.7,0
0.48,23.0,34.0,43.0,20.0,2.9,0
0.68,33.0,24.0,48.0,20.0,3.6,0
1.0,46.0,6.2,0.0,0.0,4.8,0
1.31,51.0,1.3,81.0,28.0,8.5,1
1.3,50.0,1.3,81.0,36.0,11.0,1
1.09,45.0,1.0,84.0,41.0,8.9,1
1.3,42.0,1.2,82.0,39.0,8.8,1
1.24,37.0,0.9,81.0,39.0,11.0,1
0.99,37.0,1.0,83.0,41.0,10.0,1
0.9,37.0,1.1,83.0,44.0,8.7,1
0.99,38.0,1.0,87.0,45.0,14.0,1
0.81,37.0,1.4,98.0,46.0,16.0,1
0.44,31.0,7.5,90.0,46.0,12.0,1
0.62,37.0,1.8,82.0,46.0,9.3,1
0.72,42.0,3.2,83.0,48.0,10.0,1
1.18,46.0,4.8,89.0,52.0,11.0,1
1.13,33.0,23.0,95.0,53.0,8.2,1
0.63,16.0,47.0,88.0,46.0,4.8,1
0.46,11.0,65.0,89.0,37.0,3.5,1
0.46,13.0,58.0,97.0,36.0,3.5,1
0.56,19.0,53.0,105.0,31.0,3.5,2
0.91,40.0,25.0,112.0,32.0,3.5,2
1.21,55.0,16.0,115.0,36.0,3.7,2
1.14,48.0,16.0,112.0,42.0,4.0,2
1.0,43.0,16.0,108.0,41.0,5.0,2
0.84,32.0,26.0,101.0,37.0,3.9,2
0.83,31.0,25.0,95.0,36.0,3.3,1
0.64,25.0,28.0,89.0,33.0,3.3,1
0.46,16.0,35.0,81.0,30.0,3.5,1
0.38,11.0,36.0,66.0,26.0,2.2,1
0.34,10.0,36.0,59.0,26.0,2.3,1
0.32,8.4,40.0,60.0,28.0,1.9,1
0.36,11.0,39.0,62.0,29.0,2.3,1
0.39,18.0,31.0,66.0,30.0,3.4,1
0.55,35.0,15.0,65.0,32.0,3.0,1
1.12,44.0,8.4,70.0,32.0,2.9,1
1.46,50.0,16.0,84.0,34.0,3.5,1
0.61,26.0,40.0,88.0,34.0,3.2,1
0.51,21.0,47.0,82.0,32.0,3.3,1
0.52,22.0,49.0,82.0,31.0,3.2,1
0.5,17.0,56.0,72.0,25.0,2.8,1
0.46,18.0,58.0,68.0,22.0,3.0,1
0.45,12.0,45.0,64.0,28.0,2.0,1
0.53,21.0,48.0,71.0,27.0,2.5,1
0.51,20.0,48.0,76.0,28.0,2.4,1
0.53,20.0,48.0,75.0,30.0,2.4,1
0.64,28.0,44.0,77.0,32.0,3.1,1
0.87,37.0,28.0,86.0,33.0,2.7,1
0.83,31.0,30.0,86.0,33.0,2.5,1
0.92,36.0,24.0,78.0,34.0,2.3,1
0.83,34.0,23.0,72.0,31.0,2.5,1
0.89,36.0,20.0,65.0,26.0,2.6,1
0.93,37.0,17.0,59.0,25.0,2.7,1
0.72,27.0,23.0,54.0,25.0,2.4,1
1.06,36.0,9.9,59.0,31.0,4.4,1
1.09,40.0,0.9,73.0,41.0,5.7,1
1.03,39.0,1.1,83.0,46.0,6.5,1
0.4,8.0,32.0,65.0,33.0,1.7,1
0.33,7.9,35.0,42.0,21.0,1.5,0
0.39,13.0,29.0,43.0,19.0,1.6,0
0.5,24.0,19.0,42.0,17.0,2.2,0
0.56,23.0,20.0,37.0,16.0,2.1,0
0.83,29.0,16.0,40.0,20.0,2.2,0
0.92,28.0,27.0,48.0,25.0,2.1,0
0.85,25.0,46.0,51.0,25.0,1.9,1
0.59,17.0,59.0,50.0,25.0,1.8,1
0.58,24.0,56.0,67.0,34.0,8.3,1
0.66,28.0,73.0,92.0,43.0,11.0,1
0.62,24.0,76.0,93.0,45.0,7.0,1
0.7,28.0,66.0,92.0,47.0,5.2,1
0.61,23.0,69.0,92.0,47.0,4.9,1
0.58,25.0,1.0,64.0,36.0,2.5,1
0.57,23.0,30.0,56.0,32.0,2.1,1
0.67,27.0,27.0,66.0,38.0,2.3,1
0.6,25.0,24.0,75.0,45.0,2.8,1
0.65,22.0,21.0,73.0,46.0,2.1,1
0.75,29.0,12.0,73.0,52.0,1.9,1
0.79,29.0,8.7,73.0,53.0,1.9,1
0.92,33.0,5.5,75.0,52.0,2.0,1
1.14,38.0,1.2,73.0,54.0,2.5,1
1.6,40.0,1.5,79.0,60.0,3.4,1
2.17,48.0,3.1,90.0,63.0,4.0,1
2.26,58.0,10.0,100.0,67.0,4.0,1
0.7,28.0,42.0,51.0,25.0,3.7,1
0.44,12.0,49.0,40.0,22.0,2.8,0
0.41,9.2,48.0,29.0,17.0,2.7,0
0.5,14.0,50.0,28.0,15.0,2.8,0
0.74,27.0,45.0,32.0,19.0,3.8,0
